continent,country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AS,Malaysia,30,30,30,28,28,28,28,28,28,28,28,28,27,26,25,25,25,25,25,25,25,24,24,24,24,24,24,24
AF,Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF,Namibia,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,34,33,33,33,32,32,32,32,32,32,32
OC,New Caledonia,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30,30,30,30
AF,Niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30,30,30,30,30,30,30,30,30,30
OC,Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF,Nigeria,35,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
NO,Nicaragua,30,30,30,30,30,NA,25,25,NA,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
OC,Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30
EU,Netherlands,35,35,35,35,35,35,35,34.5,34.5,34.5,31.5,29.6,25.5,25.5,25.5,25.5,25,25,25,25,25,25,25,25,25,25,25,25.8
EU,Norway,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,27,25,24,23,22,22,22,22
AS,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,NA,NA,NA,25,25,25,25,25,25,25,25,25,25,25,25,25
OC,Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25,25,25,25,25
OC,New Zealand,33,33,33,33,33,33,33,33,33,33,33,33,33,30,30,30,28,28,28,28,28,28,28,28,28,28,28,28
AS,Oman,50,50,50,30,30,30,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15
